Edad simple;Sexo;Periodo;Total
Todas las edades;Total;1 de enero de 2024;48.619.695
Todas las edades;Total;1 de enero de 2023;48.085.361
Todas las edades;Total;1 de enero de 2022;47.486.727
Todas las edades;Total;1 de enero de 2021;47.400.798
Todas las edades;Total;1 de enero de 2020;47.318.050
Todas las edades;Total;1 de enero de 2019;46.918.951
Todas las edades;Total;1 de enero de 2018;46.645.070
Todas las edades;Total;1 de enero de 2017;46.497.393
Todas las edades;Total;1 de enero de 2016;46.418.884
Todas las edades;Total;1 de enero de 2015;46.425.722
Todas las edades;Total;1 de enero de 2014;46.495.744
Todas las edades;Total;1 de enero de 2013;46.712.650
Todas las edades;Total;1 de enero de 2012;46.818.216
Todas las edades;Total;1 de enero de 2011;46.667.175
Todas las edades;Total;1 de enero de 2010;46.486.621
